"216";"325";"2";NULL;"100.00000";"0.00000";NULL;"2";"5.00000";"0";"0";"0";"0";"1337169396";"0";"проекты фриланса";"0";NULL;"0";NULL;"1337169396"
"217";"326";"2";NULL;"100.00000";"0.00000";NULL;"2";"5.00000";"0";"0";"0";"0";"1337169396";"0";"соцсеть";"0";NULL;"0";NULL;"1337169396"
"1010";"550";"348";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"894";"952";"463";NULL;"100.00000";"0.00000";NULL;"463";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"895";"931";"463";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"842";"770";"715";NULL;"100.00000";"0.00000";NULL;"715";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"843";"746";"715";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"891";"448";"2005";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"876";"835";"592";NULL;"100.00000";"0.00000";NULL;"592";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"877";"816";"592";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"878";"843";"1414";NULL;"100.00000";"0.00000";NULL;"1414";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"831";"536";"463";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"836";"677";"714";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"803";"520";"466";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"813";"439";"2";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"890";"457";"2005";NULL;"100.00000";"0.00000";NULL;"2005";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"888";"666";"1412";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"854";"757";"714";NULL;"100.00000";"0.00000";NULL;"714";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"1005";"1040";"474";NULL;"100.00000";"0.00000";NULL;"474";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"853";"756";"714";NULL;"100.00000";"0.00000";NULL;"714";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"852";"810";"592";NULL;"100.00000";"0.00000";NULL;"592";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"879";"689";"1414";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"850";"791";"592";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"851";"807";"592";NULL;"10.00000";"0.00000";NULL;"592";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"762";"3";"420";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"1009";"894";"348";NULL;"100.00000";"0.00000";NULL;"723";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"421";"401";"2";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"802";"526";"466";NULL;"100.00000";"0.00000";NULL;"466";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"805";"527";"470";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"819";"638";"720";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"829";"510";"463";NULL;"100.00000";"0.00000";NULL;NULL;"0.00000";"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"830";"537";"463";NULL;"5.00000";"0.00000";NULL;"463";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"826";"703";"714";NULL;"100.00000";"0.00000";NULL;"714";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"1269";"1343";"720";NULL;"100.00000";"0.00000";NULL;"720";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"1268";"1342";"720";NULL;"100.00000";"0.00000";NULL;"720";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"1267";"1341";"720";NULL;"100.00000";"0.00000";NULL;"720";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"613";"420";"2";NULL;"100.00000";"0.00000";NULL;"2";NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";"1363985749";NULL
"614";"83";"2";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
"615";"84";"2";NULL;"100.00000";"0.00000";NULL;NULL;NULL;"0";"0";"0";"0";"0";"0";NULL;"0";NULL;"0";NULL;NULL
